Q55,Q58,Q61,Q64,Q67,Q72,Q74,Q78,Q79,Q81,Q82,Q84,Q92,Q98,Q99,Q100,Q101,Q103,Q104,Q111,Q114,Q116,Q119,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q133,Q130
,All my friends. The only social activities were for my other kids social events. ,"Grocery shopping, banking",,Not applicable,It's impossible.  We have had to learn so much this year that the only person I would trust to know everything is a heme/onc nurse.  Having anyone else take care of her is like asking a baker to rebuild your car engine. ,,Who cares? It was the least of my worries. My child had a poor prognosis leukemia. I would trade my social life for the rest of my life to have him back. That's an honest response. ,,I have a friend that comes to our house once a week to socialize and have dinner. ,No,"Go for coffee, walk on the beach",My child is always on my mind. ,"My children, my health, my family","marriage, sibling social/school difficulties",,"The girls liked to play tickle fight with each other. They listened to music together. Going to the Beach was at the top of the list. Watching TV and going on ""adventures"" as we called them to new places.",,,,"Live in caregiver, which leads to lack of privacy 
Not working, being full time caregiver is exhausting but fulfilling
",,,,"When in pediatric setting mostly good.  Adult hospitals are less consistent.  

They need clean comfortable place for one of us overnight. ","Comfy bed, making meals, privacy","Familuarity, control, comfort","Staff, convience to our home, overall support from everyone","WE were in the PICU for 3 weeks so we didn't have a bed or anywhere to sleep. We had two chairs which made it very hard. WE also didn't have a shower and had to go to a different part of the hospital to shower. It would have been nice to have had somewhere to lay but in our circumstance, it wasn't the case. ",,,"Respite,Help with social service programs,Financial assistance,Peer or professional support for self,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,
,"Siblings activities, personal workout time, time with spouse","My doctor appointments, car repair, hair appointments",,"Intimacy
Conversation other than what's happening.","I personally had to leave my home and family in Az. to move to Washington due to no in network facilities equipped to do bone marrow transplants, in the state of Arizona. So it was my child and I. One single time, a volunteer from Soulumination stayed with my daughter and I went to dinner. That was once In two years. I had nobody to take care of her other than myself.",,Friends & family do not understand. They back away. ,,We went to church once a week. ,I spent a lot of personal time hanging out at the hospital.  My daughter spent most of her stays sleeping and watching TV.,"Read, crafts, puzzles, TV, go for walks",I have a tendency  to worry a lot and have anxiety. But at the same time love and joyand gratefullmes  is part of my life everyday.,"remaining children, fundraising for pediatric cancer research, friends","My son's illness, finances, & my in-laws who are evil wicked horrible nasty people. ",,"Eating out, going to the movies, hiking, being outside, traveling.",,,,"Surprisingly housing has been one of the most chaotic factors for us.  We have had to move several times with a family of 6.  Each time has been chaos of staying with family, renting, and finally buying and then having to remodel or add on.  Times 4!  The wheelchair access is very hard and right now we had to buy and renovate a house for her group home and currently rent to the clients in the agency at Section 8 prices at a loss.  No we would not do this unless backed into a corner!  One of the hard ones was when we sold the family home due to being a split and she needed a chair.  She slept on a bed in the living room and used the hall closet for a bath while we were showing the house to move, that was the same time we were on in home hospice.  We also had hospice 2 more times after strokes

Oh you asked about improvements?  Wow, who would think about that, just me every waking minute when we were in a chaos.  I actually looked into a hospice but the adult ones were such short term etc.  My daughter is actually trying to live a life while ""locked in"" for decades.   I never thought of it.  I would have used a half way house like Ronald McDonald several times for a couple of months while we got it together at home.  We were spit out of rehab several times without the resources at home to do it.  Very stressful on me and I could not say NO.  No power to say NO.  As a savvy consumer of Medicare now, I would figure out a way to refuse, but it has happened 4 times so far, each worse.   So counselling about release from hospital and abilitiy to refuse would help.  Awareness of abruptness of discharge without the usual nursing home options adults have and ability to plan for it???,  I just went through this with my dad and it was oh so easier, due to all the resources and choices and money available.    Adult resources are just different, they use voc rehab $, medicare, pensions, disability and personal money and adult children.  Pediatrics resources are not there, families have no money or emergency pot, no extra adults to enlist, no specialized tiered care facilities that have a life for a young adult supported. 

Improvement would mean similar resources as for adults but without the cost and barriers and tailored to pediatric and young adults who may have a long life or short one ahead.  People who understand and  can offer skill building for familes who have lost all contact with the real world.  People who support the whole family through their life span, each in their own set of life challenges and goals.  Interestingly, we did not have any professional support until our daughter was 35.  We did everything, including running a licensed care facility.  When our agency came to us, it was as if hands were there for us too.  It was a revelation, someone who considered the effects of everything on all of us and respected the demands of our life space and emotions that needed to be processed for each family member from infants, college, parent, grandparent and newly married sibs.  We continue to be amazed that someone is behind us in our caregiving job too!  So for the last few years of our career, we are able to start thinking about our retirement, develop some interests and make friends.  We do not take this lightly, it has been a game changer for us.  ",,,,Much needed yet exhausting. ,"House shoes and water and ice on demand.  
","Videos, toys, own type of bet","kind nurses,  child life specialist.  Caring  Dr's ",More things catered to my teenage son,,,"Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",,,
,Dinner or meal out,anything other than food and gas was ignored.,,"Every aspect. We rarely shared anything personal, work related, only aspects of our children's lives & needs.  We couldn't do anything together, dinner/movies, if one parent was gone the other parent was in duty.  The caregivers came only when our daughter was 6, so prior to that it was my husband who was the stay at home father/caregiver",It has been difficult to find adequate support for our son in the past to meet his emotional needs and deal with his grief and anxiety due to protracted and prolonged treatment over a decade.,,I stopped doing anything outside of the home I could not take her with. But I grew closer to other cancer mom's and my extended family became closer.,,My spouse and my family.,No. ,"reading, watching tv, talking on phone with friends and family","Amxiety, stress and PTSD","My children, my pets, my husband","Cancer, seizure, move",,"Watch movies, plan friend get together/parties, play with the animals, ",,,,My husband is not happy with his current job and that is the big stressor right now.  Moving to a new job will be very stressful.  Once this situation is stabilized I hope things will be better.  Right now it is just survival.  ,,,,Terrifying - I never left her anytime she was in the hospital.  My husband was very good about taking care of the pets and house but still spending time at the hospital too.  The very first time they were not very good to parents.  She was in the ICU and they told me I could not stay in the room with her.  I told them I would not go so I had to push two hard chairs together to sleep on.  The last time they actually had a second bed in the room for us to use.  The nurses and doctors were all doing their best to be helpful and kind.  We did run into a couple that we needed to fire.,"Quiet, freedom, ","Freedom, playing, friends","Security, care, nurses! ","Encouraged/arranged parent connections
Better sleeping accomodations",,,"Help with social service programs,Financial assistance,Peer or professional support for self",,,
,"lunch dates, time alone with spouse time alone with other children",Self-care (exercise); down-time; friend time ,,"leisure skills and hobbies, maintaining relationships with friends, personal and couple development, work life balance, ANY fun,  making new contacts and friends as life changes and through work, developing the web of contacts and families as you move.  Natural supports development, growth in career","In 20 years we probably had 400 nurses.  They needed to be competent and comfortable with a vent, with a social and verbal child, kind, and worked with the schedule...that was hard.  A lot of times we got the new nurses who just needed time before going to hospital or the nurses who couldn't hack the hospital which made it scary for me. ",,It's difficult to go places with all of her equipment and needs. We usually do things separately because of that. ,,Friends. I am a social person and needed that interacting to keep a healthy as possible balance.,no,"Go out to lunch, shop, read, gaming",I have gained 12 pounds since his diagnosis since I haven't been able to go to the gym hardly at all or focus on healthy eating like I normally do. ,My kids and husband ,My husband my daughter and my ill daughter ,,"Camping, board games, going to the movies ",,,,It's fine! ,,,,"Miserable.
He wants to be in his home when he is feeling the worst.",Being in our own home and town.  Friends and family and our dog and cat,"Same as above.  She missed her friends, family, home and her cat and dog.",Good staff - One doctor the last time worked really hard to get Kathryn home.  We are forever grateful to him for seeing how important it was to get her home.  He used common sense to make it happen.  We appreciated our friends and family bring us food and coming to visit.,,,,"Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Childcare for siblings,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,
,,"groceries, post office, returns",,We had no quality time together and our relationship still suffers due to our lack of quality time and overall fatigue,Don't know how to let anyone but my wife take care of my child.,,My friends didn't/don't understand the need for cleanliness and for cancelling 'dates' because of his illness.  i do not have any close friends anymore...just my family.,,Friends,No but I wanted to be with my son so it was fine,"Run, yoga, food with friends, shop","Once my son relapsed and was put on palliative care, I started to feel more anxious and unable to stay focused on tasks.  Since he died, (5 months ago) I have more and more anxiety, nervousness, stress, and depression.  I don't care about exercising.  I'm easily overwhelmed.  Every project, even something as simple as sorting items for a yard sale, seems like too difficult a task.  
I wake up every morning in a state if slight panic.   ","My husband, my daughter and my ill daughter ","money, loneliness, my son's PTSD and anger/my son's health",,"Parks, dinners, and sports ",,,,"My daughter could start eating by mouth and become more mobile, which in turn could free up more of our time.",,,,"It separated our family regularly. My husband would go to hospital and have to deal with that stress, labs multiple times a day, her sadness while I was at home having to work and for sanity, ignore what was happening at the hospital. Later on having to call the nurses or physicians as my ex would not share with me her treatment ","My bed.
Being able to cook food.
Family together.","Comfort level.
Privacy/uninterrupted time.
Games.","Our fantastic nurses.
Quicker response time from dr to questions",,,,"Support for my other children,Financial assistance,Peer or professional support for self,Childcare for siblings,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,
,Anything that involves leaving the house. ,"Grocery shopping, purchasing clothing, cleaning the house, gift buying",,"Intimacy, fun, personal time, financial responsibilities",N/A,,"I couldn't go to big events or public places since his immune system was delicate. I felt isolated. 

I turned to the online community and found lots of families in the same boat and I treasure those friendships. ",,Our child ,Yes,None of these when child was sick. Basics...maybe reading and spending time w siblings. ,"There is a strikingly different Before & After me of the last 5 years. I use to be healthy, fit, completely independent career woman with an active social life and several big vacations per year. Now, i hardly leave my house, i have severe clinical depression, rarely see (or even talk to anymore) my friends and family and never go on trips. I dont recognize this life.",I can only think of 2...my 2 sons.,"Teaching
Money
Thats it..",,Traveling ,,,,By having reliable people who with come when they say they will come.  Being able to plan an outing and have it happen without having to make 10 phone calls to make it happen.   ,,,,"Hell.  Because she is non verbal, we have to 100percent be there.  She has had many health crises and our advocacy has saved her life multiple times.  One time, the hospital even assigned a nurse to me for what they had caused!  Medical systems are not designed for her complicated care.  I have a concierge doctor now to help with well care, and when in the hospital, we are vigilant.  For some reason, they do not value her the same way sentient adults are.  I just went through stuff with my Dad and I was surprised how different it was.  More respect, more planning, more options, more discussion and more explaination.  When she is in, they change drs everyday, don't give her a single responsible person, change nurses every day, never let one get attached, only send in specialist if there is a malpractice concern, don't staff with rehab trained people, and even wont give her an accessible bathroom in the hospital room.  They spit her out, like a hot potato with no social workers hovering and facilities bidding for her rehab.  OT PT Speech move her out before ADL's are obtained and wont' work to keep her for goals we have,  discharge is the worst, as it is always about a week before we can do it at home.",Nothing when I was with her at the hospital. As long as my two girls and I were together those other things mean nothing,"Familiarity 
Not being sick (?)
Sister","Being together, close
",,,,"Respite,Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Childcare for siblings,Transportation help,Help with tasks of daily living (house/yard/errands/meals),Other",,,
,"All social activities.  I don't have any friends anymore.  If I do something social, it is with a family member",,,"We work opposite schedules so that my daughter will not have to go into daycare. I quit my career, so that I could work evenings to make this schedule work. We try to avoid child care but once in awhile we need someone for an hour here or there before my husband gets home and I have to leave for work.",I worried leaving her with anyone else who doesn't know her ins and outs of the condition,,IT brought me closer then ever the the Camp Goodtimes community that I am involved with. ,,My son,no,"read, go to a movie solo, lunch with my mom","Worrying about your sick chilld you love, at any age, affects parents, family amd friends","My Lovely wife!
Camp Goodtimes
Teaching","Cancer, chemo, hospital stays/appointments. ",,"Swimming, water  polo,soccer, baking,camping,hiking,painting,taking the dog for walks.going on day trips together. Movies bike riding. Going to the beach",,,,Having a caretaker would help.  Having the money for a place to live would help.  We live in hotels.  I can't save enough money for housing.,,,,"I always stayed with her and never left her alone for longer than 10 minutes in the hospital.  When she was in the hospital 12 admissions she was always very sick on chemo so she was on heavy medication and miserable.  Most admissions were 5 days longest was 12.  It was very stressful, exhausting and boring for me as the parent.  She was so ill we did not really want visitors.   ","Sleep, change of clothes and shower, control of environment, food","She just wanted to go back to what she likes to do, even if it is simply sitting in the sun, or going to the store.  I remember one time, it was just washing her hands in water.  Own food","internet, hospital statement of values, some nurses",,,,"Respite,Support for my other children,Financial assistance,Help with tasks of daily living (house/yard/errands/meals)",,,
,"Ones just for fun. Just for the parent. 

We attended church with our older 3 kids every week and got a babysitter for my son at the hospital. But it was for the family -Not me as a parent. ",,,Time to just sit and talk about normal things.  It is always about the disease and beat way to care for the child.,"My husband is currently unemployed and I am still breastfeeding our little guy (who has cancer) and normally am the stay-at-home parent. We swap out for errands and individual time when we can. Our extended family all live out-of-state and we have lived here less than 2 yrs and have limited family resources--our church has been a great help in a lot of ways. But there are numerous challenges to get time alone just the two of us--we have three children and no job between us. So there are financial hurdles, quality of care hurdles, and lack of quality time together. ",,"I spend every day (almost) at the hospital.  I do not have a life outside of my child's illness.  However, I have slowly started getting to know all of the cancer moms and they are the strongest, most supportive women in the world.  Their willingness to help you even when they can't help themselves will change your life. ",,The first year we didn't really socialize much at all. If our daughters counts were good we would let her have a friend over to our house. We also tried to keep our son's activities as normal as possible. This was difficult at times. We spent time with out family and a couple of good friends.,I didn't but now I have too much since she passed. I miss the chaos. ,"Read, massage, I like pedicures they are relaxing. ","I'm early 2012 just before Tahlia was diagnosed, I had a tooth abses and was actually still fighting that infection the week the Drs. Found Tahlia's tumor.  (Middle of March 2012) Found out we were expecting #5 in June of 2012, and Tahlia went into respitory failure at the end of September 2012, not to be released to homecare till December 26th 2012. 
She came home able to move on her right side and ""drive"" her wheelchair. I honestly barely remmebr being pregnant.
Being pregnant and a lack of real deep sleep would be a huge component I think to my many sinus infections, migraines, back issues, acid reflux, after having Karis (#5) I developed a stomach ulcer, and still have flare ups from time to time. 

","My kids laughter, seeing my daughter with cancer walk & take bites of food, and my husband. ","Not sure if you mean then or now. So my response reflects during the time my child was sick-
Making sure I was on top of her care so I knew how to do everything that was asked of me and be out of the hospital as much as possible. . 
Feeling helpless to make my child better.
Being away from our Family.",,"Play games, play outside, camping, sports, movies",,,,Living near family and having extra support and help would be very helpful. Being military makes that hard. ,,,,We felt safe there! Hard to get used to but then we became used to the routine! New friendships were made but not maintained!,"Comfortable beds, sleeping without interruptions.  ",Her bed and feeling safe.  She was always very stressed and miserable. ,7 and 8 Forest at Children's Hospital are wonderful and comfortable.  We are so grateful to be near such a wonderful hospital.  Private rooms are key for children.  I could not imagine going through what we did sharing a room.  ,,,,"Support for my other children,Help with social service programs,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,
,All..,,,It was just so stressful - we were struggling financially due to our daughter's illness and I was depressed because I couldn't work or have freedom,"We were thankfully referred to Providence Hospice which I didn't even know existed. If it weren't for that, I would have not had any outside assistance. ",,"People were much, much more caring and pulled together donations for our house payment and bills, even for our Cobra payments. I made a lot of great friends in the hospital and from Az. people would always keep tabs on us and often send us care packages.",,Friends or sisters,"Yes, when she's at school. Not during the summer ","Crafting, going for walk. ","Anxiety, insomnia, constant worrying, forgetfulness ","The time I had with my daughter. I am super grateful for that. That I have managed to build a firm relationship with my younger daughter who went thru anger, jealousy and a lot of resentment.
That my Faith is still so strong.","Worrying about my son's future health and wellbeing, feeling anxious, insomnia.",,"Play in the snow or at the river, swimming, go to the park, go to the movies, go out to dinner, go to the children's museum/zoo/aquarium on occasion, go to church, go to library, play board games and cards",,,,"We struggle mostly with physical accessibility in and around the home. Transfers are exhausting and dangerous. Necessary modifications, such as bathroom, bedroom, and ramp vans are not covered by insurance, so it's a struggle.",,,,It is exhausting and very stressful on both the child and the parents. ,Our beds! The smell!,His family being together!,Nurses! Feeling safe! I developed friendships there! ,,,,"Respite,Referral or references for alternate caregiver service or options,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Transportation help,Help with tasks of daily living (house/yard/errands/meals),Other",,,
,"Everything.  The only break I had was taking a shower during the day and drinking a cup of coffee.  We missed holidays, family birthdays, visiting with friends, date nights for our marriage.  ",,,"Personal time spent alone, not taking care/helping/talking about kids. ",Very difficult ,,"The time taken up between treatment, appointments and work and school just left very little time to do very many things socially.  ",,"I walk with a neighbor, or my husband watches our son while the big kids are at school so I can go to Bible study (this has happened twice since Feb--so 2x in 3 months when it is normally a weekly social activity), or friends come to visit us (this has happened 2 or 3 times).","No, but again, this is so low on the priority list when you are fighting for your child's life. ",none.  I don't have time or energy.  I guess sleeping would be the closest thing to a personal activity.  I do get to play video games from around 8pm - 9pm in the evenings after I put the boys to bed and before I go to sleep.,Less exercise more drinking less hugs from my wife.,"My family, art teaching, having peace of mind. ","My daughter, money, my family",,"Games, outside activities, go to the beach, hike, sports",,,,Nothing,,,, Most of the time he has been to sick to even know what is going on.  ,"Shower
Home cooked meals
Comfortable bed",N/a,"Medical insurance
Free diapers and wipes
Ronald McDonald house",,,,Peer or professional support for self,,,
,Gathering with friends and Family....everything.,,,"we rarely go out on ""dates"" and never go out with other adults as a couple. haven't been on a trip together without children since 2002","We were lucky to not need any outside help other than the hospice appointments.  We have many friends in the medical field so if we had needed help or someone to stay with our son for a few hours, we would not have had a hard time finding someone we could trust and who would be able to handle medical emergencies.",,"When your kid is your number 1 priority and is medically fragile, everything else has to be number 2 or lower ALL the time.",,Family and close friends ,no,Skiing. I started skiing when my sister first had cancer in 1999.,All focus was on our son. We didn't matter till sometimes to late. We would have to take a day because of exhaustion!! ,"My daughter, my relationship with God, reading a good book. ","Money, money, and money ",,"Hike, bike, movie nights, game nights, traveling",,,,,,,,"Terrible.  He was in ICU for almost two weeks.  I missed work, lost three new projects and my income took everything extra away from us.  we had been living in my office and occasionally hotels, I lost the office, missed court to keep it as he was in the hospital and things went downhill from there.",Sleep eating regularly and routine, His movies  His toys the routine of home ,The expert care that was given for his condition. The concern for his not being afraid of what was going on.,,,,"Respite,Financial assistance,Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",,,
,Most all but I would make time to exercise with friends.,,,talks,Have been approved for 36 hours/week of private duty in home nursing and unable to find a nurse for 18 months.....then the agency dropped us and no other agency in the area will even take us because they have no nurse to meet our needs. ,,I just wanted to be with my daughter as much as possible!,,Other children or spouse,It was really bad but has gotten better as things stabilized.,"I used to love getting coffee, pedicures, and meeting my husband at his office for lunch. ","I became depressed.  I gained weight.  I cried a lot.  The first time around I gained 20 while just waiting in the hospital for Kathryn to wake up from her brain surgery.  It took a couple of days.
I became so stressed after Kathryn passed that I had to go to the hospital for severe pain from my head to my toes.  I also became very ill missing her one Christmas eve.  I threw up and had such a severe headache but I was able to pull myself together only after having a dream about Kathryn that gave me peace.  On other occasions my hands would go numb so bad that I couldn't sleep.  I have lost a great deal of sleep over the years.  I had to take sleeping medications.  I did acupuncture for my hands and the tension in my neck.  It helped.  It gave me an even feeling after a year of sessions.  I had my hip replaced and developed cancer all within 3 years of Kathryn's death.  They say stress and depression can do these things.  It must be deep inside as I don't feel like I am depressed or stressed.","Family, friends, job",Making sure my son is okay,,"Sports, games",,,,,,,,EXHAUSTING!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"having one (in general) with regard to staying in the hospital, I missed having a bed to sleep in.  I slept in a chair, I missed access to my computer so I could work, and I missed food that I could afford.  Hospital food costs a fortune.","TV, food, a calm environment.","occasionally nurses would bring me food, I got a bed the last three days (but that is rare), someone to watch him when I needed to step away for a few minutes",,,,"Help with social service programs,Peer or professional support for self,Other",,,
,"It was random...my daughter came first so if no nurse, or she were sick, she came first",,,"Sex, visiting alone, just being ALONE","Home care is DIFFICULT work! Long hours, less pay, and frequently we found two types of nurses were hired by homecare companies.  Older nurses not yet ready to be retired, and new ones fresh out of nursing school. At first I wanted to have the more seasoned care givers, but as issues arose it became very clear to get the new nurses, verify they know how to use and amboo bag (yes, we had 1 who didnt) and then train them ourselves. It was exahusting!!! We tried a 2nd company for homecare services, but found they had even further lack of ability to find people for our situation, so we stayed with the 1st. ",,We don't go anywhere ,,We usually spent time with close friends.  All the people we socialized with were people heavily invested in our family's situation.  ,"Our situation is my husband works outside the home 5 days per week. When he gets home he kind of takes over care of our sick daughter while I cook, clean take care of our older daughter. Sometimes I can squeeze in a nap or time for a walk etc. He doesn't get time to himself until the weekend. But we don't get to do anything together really because one of us always has to care for our daughter. ","Read, exercise, get outdoors, dinner out sometimes.
I was able to read and exercise all the time in the hospital, we would read together and 
the Hospital brought us exercise equipment to use in the room.

Getting outdoors and dinner out was hardly ever...",Stress causing physical manifestations.,"Wife, children, and grandchild ","Medical expenseses   
It was a big financial strain on our family. We lost our home and had to file for bankruptcy.  I worry about  my daughter of course  and our financial future.",,"We enjoyed movies, running, Boy Scouts.",,,,,,,,Hard. Especially having other kids who can not be there with us. ,"Privacy, sleep, good food, being in a room with natural light ",Her sister.   Her toys.  Friends.,The people ,,,,"Respite,Support for my other children,Financial assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,
,Doctors appointment,,,,Having to know the ins and outs of what to look for and what are warning signs is hard to teach.not everyone understands that something minor in a regular healthy child can be a large deal in an immunodeficienct child ,,We didn't do a lot of things with big groups of friends like we used to. We had a few friends that we trusted  that knew the importance of coming over only when they were completely healthy. I felt let down by some of our family. At the same time some of our family was amazing  and we are very blessed.,,"Coworkers, my cousin","No, but I don't think cancer is the cause.  I am a teacher and a single mom, so my time and energy are limited.  Add cancer to the mix and I have no energy.","Exercise, paint, draw, crafts, hike.","It was stressful, which led to poor sleeping habits, which led to headaches. I was depressed or grieving alot of times",Son and working toward my goals ,"Children, money, marriage",,"Hiking, bowling, gymnastics center, music class",,,,,,,,"exhausting for me and disruptive for the rest of the family. We have two more young, typical children, and it's very stressful for them to know their baby sister is in the hospital.",Our own bed. Showering. Not having to eat hospital food.,"her bed, the smells of home, her dad and siblings","Child life specialists who helped pass the time, Starbucks, Ronald McDonald house",,,,Help with tasks of daily living (house/yard/errands/meals),,,
,,,,,"Agencies provided people with to many needs of there own to care for our son. He needs gate to and toilet support, feeding and choking help.  Companion care.",,More friends online and families going through the same thing but haven't had time to nurture my existing friendships at all,,"Family, neighborhood friends, work colleagues ","While my sister was sick, no.","Read, water aerobics, take bathes, get massages, go to church","High stress levels with no ability to mitigate by friendships or information.  Obesity, acute loneliness, many times of feeling left out and rejected.  Personal loss of friendships due to always crossing the line, intentional or caused by need.  Diabetes, obesity and lack of leisure skills now.",I thank the Lord for my family everyday,"My child's illness, my husband's lack of job, constantly moving our family for my husband's next job--all of this effects my own health, thyroid, sleep and weight",,"Games, movies, discussions, travel, interact on face time",,,,,,,,"Hard, we were at Children's which was set up for young kids, I had a mature 13 year old and it really wasn't catered to his age group for activities","shower, my bed, my other kids","his friends, being involved with school and certain classes","nurses, TV, laundry facilities",,,,"Respite,Referral or references for alternate caregiver service or options,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Childcare for siblings",,,
,All of them,,,,Finding someone who was qualified and reasonable. Or someone who would just be there. ,,"We have leaned hard on our village for support, but have rarely had social interactions that weren't revolved around a sick child. We are normally compelled to host others if we would like to get together so that we can control the environment since our cancer kiddo is with us--but having the energy to entertain in this season is difficult to muster.
",,Other homeschoolers or church family,No. ,Have lunch with friends,I have gained 20 pounds since my daughter's illness and I think I am suffering from PTSD or at least anxiety and depression.   I have recently joined a gym and have been trying to get back in shape.  My diet is not the healthiest and I used to have one drink once a week and now maybe 1 or 2 drinks 4 nights a week. ,"Children, friends and family ","My lack of career during care, finances and time",,"We love to play games, go hiking, fishing, camping, ride bikes, swim",,,,,,,,"LONG, grinding, routine-filled, laborious","Friends, good food, ","His room
Just being home
His bed","Healing, ",,,,"Support for my other children,Help with social service programs,Financial assistance,Peer or professional support for self,Other",,,
,N/A,,,,Our insurance would have paid for in home care but they didn't work out.  Kathryn made me let one go and I let the others go.  None of them were able to care for her like family.  They told me they couldn't transfer her.  She weighed less than 100 pounds.  I didn't trust them with her medications as they were changing just about everyday.  We did fine taking care of her by ourselves.  Both my husband and I had to stop working for 8 months or so.  Our son dropped out of the fall quarter of college (but kept all but one class and finished them in the spring with all of his other spring classes.  He didn't attend winter quarter because of the timing.  The three of us did everything.  The one person who was very helpful was the lady who came in to give Kathryn a shower in bed.  ,,Low blood cell counts required isolation and removed us from many events. ,,Good family friends or coworkers ,"No, but I was so hyper focused on the well being of my child that the only thing I was adamant about for myself, was keeping healthy. Physically, mentally and Spiritually so I could care for her and be at my best.",Work,"Anxiety, at times ptsd, arthritis, ","God, family, friends",Finding balance ,,"Movies, traveling, going for drives, eating, sports events",,,,,,,,,"KITCHEN
BEDS
Just being HOME",,"AMAZING nursing staff
My husband and other son coming to visit daily
Access to kitchenette",,,,"Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Help with tasks of daily living (house/yard/errands/meals)",,,
,We didn't go to large family and friends functions . ,,,,Recommendations from hospital,,"We were blessed with a very caring circle of friends.  Everyone jumped in to help in any way possible.  We even acquired new friends during our son's illness.  
The negative effect was the inability to go out and socialize as often or for as long as we normally would.  We couldn't make long term plans for things like plays, concerts, etc.  Everything had to be flexible.",,Other service organization friends.,Currently yes.,"shopping, read, dinner and travel ",I definitely don't pamper myself anymore and or excercise as much as you like.,"My husband, our kids and resuming my career ","The loss of my son (my only child)..
Questioning my faith.
Not living in the region of the US that I would prefer.  I would have more extended family around if I lived on the East coast, rather than here in the North West.",,Walk around together.  Car trips are good but bigger car would help.  ,,,,,,,,,,,,,,,"Support for my other children,Peer or professional support for self,Transportation help,Help with tasks of daily living (house/yard/errands/meals)",,,
,"Running, going out on dates, movies, friends out to dinner",,,,"Some didn't want to work with a child, it was a commitment. Our daughter was legally blind, and lost her hearing which then affected her speech.  
It was hard to trust sometime, with lack of communication of our daughter, we worried for her treatment and ability to share mistreatment. It took three nurses, than once we found one it took us months to trust her in their care without one if us around.  ",,Socially i had a lot of support amd cooperation from my employer and family metworks.  ,,"My other half, maybe a buddy, family, coworker, hospital staff. ","Yes and no.  I am an outgoing introvert.  There were a lot of times when it would be down time, Robyn with friends or reading or watching a tv show but i couldn't leave so my introvert self was happy most of the time. ",Go to the gym. Lunch with friends. Pedicures,"My daughter is overweight, depressed, angry and tired all the time.",Family,"Logans illness
Being trapped in an unhealthy marriage
My health",,"All of the above plus some, baseball games are our favorite! ",,,,,,,,,,,,,,,"Respite,Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Financial assistance,Insurance assistance,Peer or professional support for self,Childcare for siblings,Transportation help,Help with tasks of daily living (house/yard/errands/meals),Other",,,
,"Bible study, date-nights, family movie dates, athletic activity (gym, playing sports esp soccer)",,,,I'm not worried about any medical issues. It is more my problem with separation anxiety.,,"We were totally consumed with her care. From the moment we woke, till we fell asleep, there wasn't a moment that went by we weren't doing something. Everything for her took minimum of 2 people. Trac care, feeding tube, sp catheter, bowl regimine, getting dressed, up and into chair, teaching (of course we realized quickly that she had lost a lot of cognitive function,  and so eventually brought in a tutor)",,"When Kathryn needed a great deal of care we did not socialize outside of the family.  Well, maybe a little with her friends.  Maybe with a few of our friends but not without the kids.  That means not without Kathryn or her brother.  I think once we went to a porsche club event when we were in Houston without the kids.  We are a pretty tight family and never wanted Kathryn to be alone.  She was never alone.",Yes,Exercise and sleep,"i can't physically meet all his demands.  he is grown up, his brain is not, however, so I am trying to handle a 220 pound 6'4 kid and that isn't easy.","My biggest joy was my son.  
My friends.
My pets. 

","PTSD, money and this countries political games",,"Camping, skiing, vacations, swimming, boating, snorkeling...",,,,,,,,,,,,,,,"Referral or references for alternate caregiver service or options,Support for my other children,Help with social service programs,Financial assistance,Peer or professional support for self,Childcare for siblings,Help with tasks of daily living (house/yard/errands/meals)",,,
